,Gold standard pooled ,,
Tools,Marine,Strain-madness,Plant-associated
McDevol,,,
VAMB,83.8885779874142,41.8764172335601,53.811365779497
COMEBin,86.2407848361066,61.8734406894988,63.768679000533
GenomeFace,90.4504936643083,61.3860544217687,66.0848208130665 / 66.10292891323591
